Entity,Year,Annual CO2 emissions,GDP per capita,Population,per_capita_CO2,per_gdp_CO2,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,CO2 emissions %,CO2 % from greenhouse emissions
Australia,1962,94823460.0,14389.0,10711943,8.852125146670403,0.6152008580631317,57849788.0,124737944.0,394817950.0,0.9724426854560104,24.01700834523861
Australia,1963,100934264.0,14983.0,10917377,9.245285199915694,0.6170516718891873,58766110.0,127102270.0,416141860.0,0.982648502115774,24.25477311991637
Australia,1964,108875770.0,15699.0,11131608,9.78077650596392,0.6230190780281495,60223040.0,130747030.0,440531230.0,1.0053524539937349,24.714654168786172
Australia,1965,120852670.0,16182.0,11359442,10.638961843372236,0.6574565469887675,60918900.0,133499380.0,468914700.0,1.0678298642220485,25.772847385675902
Australia,1966,120219300.0,16324.0,11592675,10.37028123362382,0.6352781936794792,59611364.0,129826140.0,448571260.0,1.0130612517994328,26.800490963241824
Australia,1967,129144210.0,17108.0,11809114,10.935977923491974,0.6392318168980579,60815084.0,133912270.0,531644800.0,1.0547525655158119,24.291446093331487
Australia,1968,134496900.0,17770.0,12027268,11.182664259248234,0.6293001834129563,62702440.0,137457710.0,477113380.0,1.0417320507366958,28.189714570570207
Australia,1969,142123790.0,18428.0,12268351,11.584587855368664,0.6286405391452499,64118676.0,143914750.0,448914240.0,1.0323213580372994,31.659452371125496
Australia,1970,147479760.0,19166.0,12595038,11.709354112309944,0.6109440734795963,61417780.0,141201420.0,426481150.0,0.9898823495930791,34.580604558958825
Australia,1971,152629600.0,19590.0,12993837,11.746307114672902,0.5996073054963197,56991896.0,137900110.0,418652030.0,0.9843580624573377,36.45738920697458
Australia,1972,157335650.0,19772.0,13300319,11.82946439104205,0.5982937685131524,72570030.0,160612980.0,434743140.0,0.9694883703160999,36.19048479982916
Australia,1973,170827570.0,20527.0,13513318,12.641423076109065,0.6158436730213409,56368676.0,142991470.0,422387520.0,0.9997988434404994,40.443327965750505
Australia,1974,172189620.0,20698.0,13713392,12.55631137795813,0.6066437036408412,62049572.0,150130300.0,427751260.0,1.0118399461823833,40.254614328897595
Australia,1975,175714200.0,20993.0,13886865,12.653266233955613,0.6027373997978189,69851680.0,157443470.0,464576770.0,1.0303022165187197,37.82242491375538
Australia,1976,174075020.0,21613.0,14038078,12.400203218702732,0.5737381769630654,83312080.0,172305000.0,491076320.0,0.9675195269956953,35.44765098834332
Australia,1977,187605250.0,21592.0,14193365,13.217813393793508,0.6121625321319706,80325150.0,168057680.0,541205950.0,1.0139264521793026,34.6642992376562
Australia,1978,201820620.0,21948.0,14355814,14.058458823721177,0.6405348470804254,64179100.0,146492320.0,507890370.0,1.0579156452463605,39.73704403964186
Australia,1979,204870080.0,22826.0,14520529,14.108995615793336,0.6181107340661236,78413450.0,161577120.0,535446940.0,1.0442717635794525,38.26150916092638
Australia,1980,220531580.0,22972.0,14706329,14.995691990842854,0.6527812985740403,83494984.0,165657680.0,557095100.0,1.1308579346886405,39.58598451144159
Australia,1981,230133360.0,23368.0,14930055,15.414099948057794,0.6596242702866224,58382990.0,139986340.0,532743500.0,1.2089301615450252,43.19777904376121
Australia,1982,233889400.0,22972.0,15168446,15.419470128976956,0.6712288929556398,75108360.0,158978370.0,546739900.0,1.2385266277024098,42.77891553186442
Australia,1983,224785710.0,22697.0,15383079,14.612530430351427,0.6438088923801131,61069256.0,142381630.0,564122100.0,1.182675594821572,39.84699588971962
Australia,1984,236362030.0,24009.0,15579478,15.171370311636885,0.6319034658518424,61703492.0,145936720.0,535089280.0,1.2019576648679324,44.172447259642354
Australia,1985,240988940.0,24927.0,15785685,15.266296014395321,0.6124401658601244,84146900.0,169137870.0,561288260.0,1.1856490326652445,42.934968923098445
Australia,1986,239723250.0,25116.0,16012299,14.971194954578353,0.5960819778061137,70770840.0,157285040.0,517438560.0,1.1621615659977815,46.32883370732942
Australia,1987,255851310.0,25971.0,16259251,15.735737765534218,0.6058964909142589,58673496.0,144908020.0,495914050.0,1.2026532505433298,51.5918655662206
Australia,1988,260880060.0,26702.0,16525901,15.786132326461352,0.5911966267119074,59420308.0,142717390.0,491474800.0,1.1800365436715874,53.08106539745273
Australia,1989,277487040.0,27407.0,16796586,16.520442904290192,0.602781877049301,63291620.0,150050750.0,512300450.0,1.2382064364574987,54.164902646484116
Australia,1990,278154140.0,27373.0,17048002,16.31593778555399,0.5960595398952979,73260344.0,161569040.0,538045300.0,1.2222536941700046,51.69716007183782
Australia,1991,279528500.0,26861.275,17271092,16.18476121834103,0.6025313846174848,72375780.0,162298560.0,530104600.0,1.2025417635234297,52.73081954014359
Australia,1992,284525380.0,27560.178,17462500,16.293507802433787,0.5911974807431863,71592584.0,160640180.0,561275700.0,1.2600756872568288,50.69262396358866
Australia,1993,288870560.0,28622.477,17631514,16.383763753923798,0.5724090110693005,71434280.0,159190200.0,563463040.0,1.2662596484331388,51.26699348372521
Australia,1994,293696580.0,29844.172,17805506,16.494705626450603,0.5526943627871668,71331000.0,157973200.0,564110850.0,1.2786373476686343,52.06362898355882
Australia,1995,305002980.0,30690.062,18003002,16.941784486831697,0.5520283565028867,71223256.0,157168540.0,636084500.0,1.3001692249626302,47.9500726711624
Australia,1996,311886140.0,31740.469,18211850,17.12545073674558,0.5395462410068855,66018724.0,149961760.0,635050800.0,1.2909523686531081,49.11199859916719
Australia,1997,320282620.0,32857.992,18410254,17.396969102110162,0.529459289603277,65048708.0,151299630.0,619962560.0,1.3178953316239952,51.661606791223
Australia,1998,334076000.0,34337.14,18601666,17.959466641321267,0.523033270718565,69118750.0,154928080.0,665111600.0,1.3797233416731163,50.228563146395274
Australia,1999,343488640.0,35551.02,18800892,18.269805496462613,0.5139038344458926,84703840.0,171184460.0,689853300.0,1.3888210561130565,49.79154843500785
